link,title,pubDate,description,thumbnail
https://www.antaranews.com/video/3865737/anies-sebut-kolaborasi-dengan-pengusaha-menjadi-hal-penting,Anies sebut kolaborasi dengan pengusaha menjadi hal penting,2023-12-11T08:34:42.000Z,"ANTARA - Calon presiden nomor urut 1 Anies Baswedan menilai pengusaha merupakan mitra penting pemerintah untuk membantu meningkatkan kesejahteraan rakyat. Melalui kolaborasi dengan pengusaha, ungkapnya dalam Dialog Capres Bersama ...",https://img.antaranews.com/cache/800x533/2023/12/ANIES-SEBUT-KOLABORASI-DENGAN-PENGUSAHA-MENJADI-HAL-PENTING.jpg
https://www.antaranews.com/berita/3865719/anies-sebut-dialog-apindo-jadi-kesempatan-pengusaha-bandingkan-capres,Anies sebut Dialog Apindo jadi kesempatan pengusaha bandingkan capres,2023-12-11T08:18:16.000Z,Calon Presiden RI Anies Baswedan mengatakan kegiatan Dialog Apindo&nbsp;dengan penyelenggara Asosiasi Pengusaha Indonesia (Apindo) menjadi ajang bagi para pengusaha untuk membandingkan para calon presiden pada Pemilu Presiden ...,https://img.antaranews.com/cache/800x533/2023/12/11/WhatsApp-Image-2023-12-11-at-15.01.14.jpeg
https://www.antaranews.com/berita/3865707/timnas-amin-820000-posko-tps-gerakan-rakyat-kawal-pemilu-2024,Timnas AMIN: 820.000 posko TPS Gerakan Rakyat kawal Pemilu 2024,2023-12-11T08:10:38.000Z,Wakil Kapten Tim Nasional (Timnas) Pemenangan Anies-Muhaimin (AMIN) Sudirman Said menyebutkan 820.000 posko tempat pemungutan suara (TPS) Gerakan Rakyat akan berdiri untuk mengawal pelaksanaan Pemilihan Umum (Pemilu) Serentak ...,https://img.antaranews.com/cache/800x533/2023/12/11/IMG_20231211_150132.jpg
https://www.antaranews.com/berita/3865698/ganjar-hasil-survei-politik-jadi-pemicu-agar-kerja-lebih-baik-lagi,Ganjar: Hasil survei politik jadi pemicu agar kerja lebih baik lagi,2023-12-11T08:04:49.000Z,Calon Presiden RI Ganjar Pranowo mengatakan hasil survei politik menjadi pemicu bagi tim pemenangan agar dapat meningkatkan kinerja sehingga lebih baik lagi. Hal itu disampaikan Ganjar saat menjawab pertanyaan awak media ...,https://img.antaranews.com/cache/800x533/2023/12/11/1702280541275.jpg
https://www.antaranews.com/berita/3865692/jokowi-minta-transportasi-natal-tahun-baru-disiapkan-dengan-baik,Jokowi minta transportasi Natal-Tahun Baru disiapkan dengan baik,2023-12-11T08:03:15.000Z,"Presiden Joko Widodo meminta jajarannya untuk mempersiapkan transportasi Natal dan Tahun Baru 2024 dengan baik, termasuk juga pasokan dan distribusi bahan pokok. Hal itu menjadi salah satu poin yang disampaikan Presiden dalam ...",https://img.antaranews.com/cache/800x533/2023/12/11/sidang-kabinet.jpeg
https://www.antaranews.com/berita/3865689/ketua-dpr-dorong-hilirisasi-industri-tembaga-di-indonesia,Ketua DPR dorong hilirisasi industri tembaga di Indonesia,2023-12-11T07:57:37.000Z,"Ketua DPR RI Puan Maharani mendorong hilirisasi industri pemurnian tembaga atau pembangunan smelter di Indonesia. &quot;Pembangunan smelter akan menjadi langkah sangat positif, untuk mewujudkan program hilirisasi industri ...",https://img.antaranews.com/cache/800x533/2023/12/11/WhatsApp-Image-2023-12-11-at-09.03.12.jpeg
https://www.antaranews.com/berita/3865680/ganjar-hadiri-dialog-apindo-bahas-peta-jalan-perekonomian-indonesia,Ganjar hadiri dialog Apindo bahas peta jalan perekonomian Indonesia,2023-12-11T07:55:08.000Z,"Calon Presiden RI Ganjar Pranowo menghadiri dialog yang diselenggarakan Asosiasi Pengusaha Indonesia (Apindo) di kawasan Mampang Prapatan, Jakarta, Senin Ganjar tiba pada pukul 14.10 WIB menggunakan batik berwarna jingga. Dia ...",https://img.antaranews.com/cache/800x533/2023/12/11/IMG_0257.jpeg
https://www.antaranews.com/berita/3865677/137-rohingya-kembali-ditolak-warga-ladong-aceh-besar,137 Rohingya kembali ditolak warga Ladong Aceh Besar,2023-12-11T07:54:51.000Z,"Sebanyak 137 pengungsi Rohingya yang dibawa dari Kantor Gubernur Aceh, Kota Banda Aceh ke UPTD Rumoh Seujahtera Beujroh Meukarya Ladong Tuna Sosial di Gampong Ladong, Aceh Besar, kembali ditolak oleh masyarakat setempat. Salah ...",https://img.antaranews.com/cache/800x533/2023/12/11/IMG_9776.jpeg
https://www.antaranews.com/berita/3865665/anies-pelajari-kondisi-hukum-ham-terkini-untuk-hadapi-debat-perdana,Anies pelajari kondisi hukum-HAM terkini untuk hadapi debat perdana,2023-12-11T07:48:54.000Z,Calon Presiden RI&nbsp;Anies Baswedan mengatakan pihaknya mempelajari kondisi hukum hingga hak asasi manusia (HAM) terkini di Indonesia untuk persiapan debat perdana Pemilu Presiden (Pilpres) 2024. &quot;Ada hal-hal yang hari ...,https://img.antaranews.com/cache/800x533/2023/12/11/WhatsApp-Image-2023-12-11-at-14.23.59.jpeg
https://www.antaranews.com/berita/3865644/tpn-ganjar-mahfud-luncurkan-merchandise-untuk-galang-dana-kampanye,"TPN Ganjar-Mahfud luncurkan ""merchandise"" untuk galang dana kampanye",2023-12-11T07:41:56.000Z,"Tim Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud Md. meluncurkan merchandise resmi sebagai upaya untuk menggalang dana kampanye secara jujur, adil, dan terbuka. Ketua TPN Ganjar-Mahfud, Arsjad Rasjid, mengatakan bahwa ...",https://img.antaranews.com/cache/800x533/2023/12/11/IMG-20231211-WA0027.jpg
https://www.antaranews.com/berita/3865638/anies-sebut-elektabilitas-naik-karena-masyarakat-sadar-butuh-perubahan,Anies sebut elektabilitas naik karena masyarakat sadar butuh perubahan,2023-12-11T07:35:36.000Z,"Calon Presiden RI&nbsp;Anies Baswedan menyebut elektabilitasnya kini naik berdasarkan survei terbaru Litbang Kompas karena banyak masyarakat yang sadar membutuhkan perubahan. Selama beberapa bulan lalu, kata Anies,&nbsp;hasil ...",https://img.antaranews.com/cache/800x533/2023/12/11/WhatsApp-Image-2023-12-11-at-13.54.35.jpeg
https://www.antaranews.com/berita/3865632/presiden-gelar-sidang-kabinet-paripurna-bahas-natal-tahun-baru,Presiden gelar Sidang Kabinet Paripurna bahas Natal-Tahun Baru,2023-12-11T07:34:55.000Z,"Presiden Joko Widodo menggelar Sidang Kabinet Paripurna di Istana Negara, Jakarta, Senin, untuk membahas sejumlah hal salah satunya persiapan Natal dan Tahun Baru 2024. Sidang Kabinet Paripurna yang dihadiri menteri Kabinet ...",https://img.antaranews.com/cache/800x533/2023/12/11/WhatsApp-Image-2023-12-11-at-14.25.29.jpeg
https://www.antaranews.com/berita/3865617/pdip-tpn-pilih-fokus-di-akar-rumput-tanggapi-hasil-survei,PDIP-TPN pilih fokus di akar rumput tanggapi hasil survei,2023-12-11T07:28:51.000Z,"PDI Perjuangan (PDIP) dan Tim Pemenangan Nasional (TPN) Ganjar-Mahfud memilih fokus bergerak ke akar rumput, meski posisi calon presiden dan wakil presiden Ganjar Pranowo-Mahfud MD menurut survei Litbang Kompas berada diperingkat ...",https://img.antaranews.com/cache/800x533/2023/12/11/IMG-20231211-WA0027.jpg
https://www.antaranews.com/berita/3865614/survei-kompas-prabowo-gibran-unggul-tetapi-pilpres-tak-satu-putaran,"Survei Kompas: Prabowo-Gibran unggul, tetapi pilpres tak satu putaran",2023-12-11T07:27:37.000Z,"Survei Litbang Kompas yang dirilis di Jakarta, Senin, melaporkan elektabilitas pasangan Prabowo-Gibran berada di urutan teratas mengungguli pasangan Anies-Muhaimin dan pasangan Ganjar-Mahfud. Prabowo-Gibran berada di urutan ...",https://img.antaranews.com/cache/800x533/2023/11/14/PILPRES_2024-30-10-2023.jpg
https://www.antaranews.com/berita/3865599/pengamat-debat-bisa-memengaruhi-swing-voters,Pengamat: Debat bisa memengaruhi swing voters,2023-12-11T07:19:49.000Z,Pengamat politik Universitas Al Azhar Indonesia Ujang Komarudin mengatakan bahwa debat perdana antar-capres Pemilu 2024 dapat memengaruhi pilihan swing voters atau pemilih bimbang &quot;Saya melihat debat bisa memengaruhi ...,https://img.antaranews.com/cache/800x533/2023/12/09/20231209_144431.jpg
https://www.antaranews.com/berita/3865584/satgas-pamtas-ri-png-laksanakan-razia-kendaraan-di-jalan-trans-papua,Satgas Pamtas RI-PNG laksanakan razia kendaraan di Jalan Trans Papua,2023-12-11T07:13:15.000Z,"Satuan Tugas PengamananBaca juga: Satgas TNI patroli cek patok batas negara RI-Papua Nugini MM 2.2 Perbatasan Statis(Pamtas) RI-PNG Sektor Utara, Yonif 122/TS yang berada di bawah 172/PWY, Pos Ampas melaksanakan razia kendaraan ...",https://img.antaranews.com/cache/800x533/2023/12/11/IMG-20231211-WA0006_1.jpg
https://www.antaranews.com/foto/3865581/cawapres-gibran-blusukan-ke-pasar-rumput,Cawapres Gibran blusukan ke Pasar Rumput,2023-12-11T07:08:47.000Z,"Calon wakil presiden nomor urut 2 Gibran Rakabuming Raka (kiri) berbincang dengan pedagang saat melakukan blusukan di Pasar Rumput, Manggarai, Jakarta, Senin (11/12/2023). Dalam blusukannya, Gibran membagikan buku serta berdialog ...",https://img.antaranews.com/cache/800x533/2023/12/11/antarafoto-gibran-blusukan-di-pasar-rumput-jakarta-11122023-gp-6.jpg
https://www.antaranews.com/berita/3865578/indostrategic-debat-capres-cawapres-pengaruhi-kemenangan-pemilu,Indostrategic: Debat capres/cawapres pengaruhi kemenangan pemilu,2023-12-11T07:08:32.000Z,"Direktur Eksekutif Institute for Democracy &amp; Strategic Affairs (Indostrategic) Ahmad Khoirul Umam mengatakan bahwa debat pasangan calon presiden dan wakil presiden mempengaruhi kemenangan di Pilpres 2024. Apalagi, ...",https://img.antaranews.com/cache/800x533/2023/12/07/antarafoto-kerajinan-lukisan-bertema-pilpres-2024-061223-rrf-3.jpg
https://www.antaranews.com/berita/3865551/jelang-debat-capres-siti-atikoh-bantu-ganjar-siapkan-sisi-psikologis,"Jelang debat capres, Siti Atikoh bantu Ganjar siapkan sisi psikologis",2023-12-11T06:54:57.000Z,"Istri dari capres nomor urut 3 Ganjar Pranowo, Siti Atikoh Supriyanti, mengatakan dirinya akan memberikan dukungan penuh serta mempersiapkan psikologis Ganjar jelang debat Pilpres 2024. &quot;Saya lebih ke mempersiapkan dari ...",https://img.antaranews.com/cache/800x533/2023/12/11/IMG-20231211-WA0012.jpg
https://www.antaranews.com/berita/3865527/moeldoko-dorong-produksi-garam-indonesia-pakai-teknologi-modern,Moeldoko dorong produksi garam Indonesia pakai teknologi modern,2023-12-11T06:37:43.000Z,"Kepala Staf Kepresidenan Moeldoko mendorong produksi garam Indonesia menggunakan teknologi modern agar tidak bergantung pada kondisi cuaca. &quot;Jika cuaca tidak mendukung, produksi garam akan turun. Persoalan ini harus ...",https://img.antaranews.com/cache/800x533/2023/12/11/WhatsApp-Image-2023-12-11-at-13.20.44.jpeg
